x,y
10.00,34.97
10.51,31.17
11.02,41.58
11.53,52.88
12.04,37.86
12.55,40.41
13.06,61.10
13.57,55.53
14.08,45.71
14.59,58.38
15.10,50.88
15.61,53.40
16.12,63.03
16.63,44.03
17.14,48.47
17.65,62.64
18.16,60.69
18.67,76.51
19.18,66.84
19.69,64.35
20.20,95.68
20.71,81.31
21.22,86.80
21.73,74.43
22.24,85.78
22.76,94.88
23.27,84.82
23.78,102.63
24.29,95.42
24.80,101.06
25.31,100.51
25.82,127.60
26.33,111.50
26.84,103.61
27.35,124.96
27.86,107.08
28.37,123.93
28.88,104.79
29.39,113.66
29.90,131.46
30.41,139.43
30.92,136.31
31.43,135.99
31.94,136.68
32.45,127.46
32.96,137.60
33.47,142.74
33.98,160.47
34.49,155.89
35.00,137.37
