x,y
0.000000000000000000e+00,1.000000000000000000e+00
6.250000000000000000e-02,9.961013694701176258e-01
1.250000000000000000e-01,9.844964370054084535e-01
1.875000000000000000e-01,9.654545521978379341e-01
2.500000000000000000e-01,9.394130628134758076e-01
3.125000000000000000e-01,9.069606178873835800e-01
3.750000000000000000e-01,8.688150562628431661e-01
4.375000000000000000e-01,8.257970399501006753e-01
5.000000000000000000e-01,7.788007830714048785e-01
5.625000000000000000e-01,7.287633299194912206e-01
6.250000000000000000e-01,6.766338461617289468e-01
6.875000000000000000e-01,6.233443089596343301e-01
7.500000000000000000e-01,5.697828247309230099e-01
8.125000000000000000e-01,5.167705827795766593e-01
8.750000000000000000e-01,4.650431881340563178e-01
9.375000000000000000e-01,4.152368286818412524e-01
1.000000000000000000e+00,3.678794411714423895e-01
