x y
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 2.419896493303878848e-01
1.000000000000000056e-01 4.696339504211215488e-01
1.500000000000000222e-01 6.835657021117846899e-01
2.000000000000000111e-01 8.844143423593108233e-01
2.500000000000000000e-01 1.072798717228872878e+00
3.000000000000000444e-01 1.249320251065960008e+00
3.500000000000000333e-01 1.414556466118462197e+00
4.000000000000000222e-01 1.569054796143636299e+00
4.500000000000000111e-01 1.713326635116834806e+00
5.000000000000000000e-01 1.847841558976098586e+00
5.500000000000000444e-01 1.973021655308356603e+00
6.000000000000000888e-01 2.089235892928424487e+00
6.500000000000000222e-01 2.196794460340747879e+00
7.000000000000000666e-01 2.295942999025517128e+00
7.500000000000000000e-01 2.386856654274899903e+00
8.000000000000000444e-01 2.469633862840773464e+00
8.500000000000000888e-01 2.544289792860860100e+00
9.000000000000000222e-01 2.610749347322624203e+00
9.500000000000000666e-01 2.668839637618927618e+00
1.000000000000000000e+00 2.718281828459045091e+00
